id,url,title,visit_count,last_visit_time,visit_time,category
1473,https://aistudio.google.com/usage?project=gen-lang-client-0117226615&timeRange=last-28-days,Usage | Google AI Studio,1,18-04-2026 11:08:39 PM,18-04-2026 11:08:39 PM,Unknown
1473,https://aistudio.google.com/usage?project=gen-lang-client-0117226615&timeRange=last-28-days,Usage | Google AI Studio,1,18-04-2026 11:08:39 PM,18-04-2026 11:03:32 PM,Unknown
1473,https://aistudio.google.com/usage?project=gen-lang-client-0117226615&timeRange=last-28-days,Usage | Google AI Studio,1,18-04-2026 11:08:39 PM,18-04-2026 11:03:24 PM,Unknown
1472,https://aistudio.google.com/usage?project=gen-lang-client-0117226615,Usage | Google AI Studio,1,18-04-2026 11:03:24 PM,18-04-2026 11:03:24 PM,Unknown
1466,https://aistudio.google.com/api-keys?project=gen-lang-client-0454245480,API keys | Google AI Studio,3,18-04-2026 11:01:23 PM,18-04-2026 11:01:23 PM,Unknown
1471,https://aistudio.google.com/projects?projectFilter=gen-lang-client-0454245480&project=gen-lang-client-0454245480,Projects | Google AI Studio,1,18-04-2026 11:01:14 PM,18-04-2026 11:01:14 PM,Unknown
1469,https://aistudio.google.com/projects?projectFilter=gen-lang-client-0454245480,Projects | Google AI Studio,3,18-04-2026 11:00:56 PM,18-04-2026 11:00:56 PM,Unknown
1469,https://aistudio.google.com/projects?projectFilter=gen-lang-client-0454245480,Projects | Google AI Studio,3,18-04-2026 11:00:56 PM,18-04-2026 11:00:56 PM,Unknown
1470,https://aistudio.google.com/projects,Projects | Google AI Studio,1,18-04-2026 11:00:32 PM,18-04-2026 11:00:32 PM,Unknown
1469,https://aistudio.google.com/projects?projectFilter=gen-lang-client-0454245480,Projects | Google AI Studio,3,18-04-2026 11:00:56 PM,18-04-2026 11:00:32 PM,Unknown
1466,https://aistudio.google.com/api-keys?project=gen-lang-client-0454245480,API keys | Google AI Studio,3,18-04-2026 11:01:23 PM,18-04-2026 11:00:21 PM,Unknown
1468,https://aistudio.google.com/usage?project=gen-lang-client-0454245480&timeRange=last-28-days,Usage | Google AI Studio,1,18-04-2026 11:00:16 PM,18-04-2026 11:00:16 PM,Unknown
